client_id,path,sentence,up_votes,down_votes,age,gender,accents,locale,segment,length
9,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21479927.mp3,"""It is net mear sa.""",2,0,sixties,female,unknown,fy-NL,unknown,2.976
0,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_24676099.mp3,"""Nei't se in hiel skoft riden ha, komme se by in doarp.""",2,0,sixties,female,unknown,fy-NL,unknown,4.896
17,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21709461.mp3,"""By de omrop stie ik oanskreaun as saakkundige foar East-Europa.""",2,0,sixties,female,unknown,fy-NL,unknown,5.376
5,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21466362.mp3,"""Freedtejûn foar in wike hie ik dat besletten, moandei wie it rûn.""",2,0,sixties,female,unknown,fy-NL,unknown,6.384
5,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21516172.mp3,"""It fljocht my oan.""",2,0,sixties,female,unknown,fy-NL,unknown,3.264
19,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_24640831.mp3,"""De boargemaster docht in oprop om net sa gau lilk te wurden.""",2,0,sixties,female,unknown,fy-NL,unknown,5.868
9,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21481671.mp3,"""Meitsje in fideo.""",2,0,sixties,female,unknown,fy-NL,unknown,2.136
1,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21411933.mp3,"""Der binne saterdei spegelkarpers útset yn it Fryske wetter.""",2,0,sixties,male,unknown,fy-NL,unknown,8.664
1,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21411930.mp3,"""Hy sette de stoel wer teplak en gong út 'e keamer.""",2,0,sixties,male,unknown,fy-NL,unknown,4.896
8,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21431363.mp3,"""In trekker sit ûnder de giele ferve en in doar is bekladde.""",2,0,sixties,female,unknown,fy-NL,unknown,5.424
19,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_24672153.mp3,"""It duorret yn de regel in jier om nije masines meitsje te litten.""",2,1,sixties,female,unknown,fy-NL,unknown,6.408
15,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21540591.mp3,"""Al tweintich jier wachtsje ik op in echt geskikte en betelbere elektryske auto.""",2,0,sixties,female,unknown,fy-NL,unknown,8.784
4,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21413487.mp3,"""It echte frij wêzen, dat begjint by de stilte.""",2,1,sixties,male,unknown,fy-NL,unknown,5.496
4,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21413525.mp3,"""Nei in jier konkludearje de trije partijen dat de doelstellingen net helle binne.""",2,0,sixties,male,unknown,fy-NL,unknown,7.224
15,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21495742.mp3,"""By it kontrôlepunt stiet in plysje.""",2,0,sixties,female,unknown,fy-NL,unknown,5.256
14,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_23788150.mp3,"""Der binne mei-inoar in pear hûndert wurden dy't in oare stavering krigen hawwe.""",2,1,sixties,female,unknown,fy-NL,unknown,7.2359183673469385
16,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_30449281.mp3,"""Hja rieden troch de stille stêd yn moarnssfear nei it sikehús.""",2,0,sixties,female,unknown,fy-NL,unknown,5.76
1,/scratch/s5130867/cv-corpus-13.0-2023-03-09/fy-NL/augmented_PitchShift_audio/p_common_voice_fy-NL_21463027.mp3,"""Wy krije hjir in hiele protte bûtenlânske toeristen, dy keapje allegear Delftsk blau.""",2,0,sixties,male,unknown,fy-NL,unknown,7.896
